match_type,race_id,platform_a,platform_b,question_a,question_b,market_id_a,market_id_b,implied_prob_a,implied_prob_b,settle_date,category,url_a,url_b,volume_a,volume_b,fuzzy_score
fuzzy,,kalshi,polymarket,Charleston vs Rhode Island FC: First Half BTTS — 1st Half: Both Teams To Score,Charleston Battery vs. Rhode Island FC: Both Teams to Score in First Half,KXUSL1HBTTS-26SEP26CHARHO-BTTS,19925234989759239330504105438612605764274601995740671801754736306779535125776,0.2,0.185,2026-09-28,Sports,https://kalshi.com/markets/kxusl1hbtts/kxusl1hbtts-26sep26charho,https://polymarket.com/event/uslc-cha-rho-2026-09-26-more-markets/uslc-cha-rho-2026-09-26-btts-first-half,0.0,,86.9
fuzzy,,kalshi,polymarket,Cruz Azul vs Toluca: BTTS — Both Teams To Score,CF Cruz Azul vs. Deportivo Toluca FC: Both Teams to Score,KXLIGAMXBTTS-26SEP26CRATOL-BTTS,53040785724256673371947388530536556980343335867853100719763156421387270580282,0.66,0.645,2026-09-28,Sports,https://kalshi.com/markets/kxligamxbtts/kxligamxbtts-26sep26cratol,https://polymarket.com/event/mex-caz-tol-2026-09-26-more-markets/mex-caz-tol-2026-09-26-btts,2192.1,2024.915178,80.8
fuzzy,,kalshi,polymarket,Antigua & Barbuda vs Anguilla: BTTS — Both Teams To Score,Antigua and Barbuda vs. Anguilla: Both Teams to Score,KXCONCACAFNLBTTS-26SEP26ANTAIA-BTTS,70536181107794666633108300415211873687899864086443942474617802339158526354077,0.32,0.32,2026-09-28,Sports,https://kalshi.com/markets/kxconcacafnlbtts/kxconcacafnlbtts-26sep26antaia,https://polymarket.com/event/conl-atg-aia-2026-09-26-more-markets/conl-atg-aia-2026-09-26-btts,1306.03,550.822875,91.3
fuzzy,,kalshi,polymarket,Colegiales vs Chacarita Juniors: BTTS — Both Teams To Score,CA Colegiales vs. Chacarita Juniors: Both Teams to Score,KXARGNACBBTTS-26SEP26CACCHJ-BTTS,50094738798857526596678089812828576233299853985924319381751870650620353618483,0.39,0.385,2026-09-28,Sports,https://kalshi.com/markets/kxargnacbbtts/kxargnacbbtts-26sep26cacchj,https://polymarket.com/event/argpn-cc-cac-2026-09-26-more-markets/argpn-cc-cac-2026-09-26-btts,0.0,,94.5
fuzzy,,kalshi,polymarket,Washington vs Angel City FC: BTTS — Both Teams To Score,Washington Spirit vs. Angel City FC: Both Teams to Score,KXNWSLBTTS-26SEP26WSPANG-BTTS,77510029694774714673036528987792630704223346454749081433108670213053085648,0.59,0.59,2026-09-28,Sports,https://kalshi.com/markets/kxnwslbtts/kxnwslbtts-26sep26wspang,https://polymarket.com/event/nwsl-spi-ang-2026-09-26-more-markets/nwsl-spi-ang-2026-09-26-btts,76.73,13.634147,88.7
fuzzy,,kalshi,polymarket,Philadelphia Union vs Orlando City SC: First Team to Score — Philadelphia Union,Philadelphia Union to score first vs. Orlando City SC?,KXMLSFTTS-26SEP26PHIORL-PHI,49346262523767991422305173383753036736306580466641399472604378995778263852839,0.65,0.655,2026-09-29,Sports,https://kalshi.com/markets/kxmlsftts/kxmlsftts-26sep26phiorl,https://polymarket.com/event/mls-phi-orl-2026-09-26-first-to-score/mls-phi-orl-2026-09-26-first-to-score-home,0.0,,81.2
fuzzy,,kalshi,polymarket,CF Montreal vs FC Cincinnati: First Team to Score — FC Cincinnati,FC Cincinnati to score first vs. CF Montréal?,KXMLSFTTS-26SEP26MTLCIN-CIN,127553361688418430219537353484047545614036487488123401805919690257558792920,0.51,0.51,2026-09-29,Sports,https://kalshi.com/markets/kxmlsftts/kxmlsftts-26sep26mtlcin,https://polymarket.com/event/mls-mim-fcc-2026-09-26-first-to-score/mls-mim-fcc-2026-09-26-first-to-score-away,60.0,542.85,80.0
fuzzy,,kalshi,polymarket,Charlotte FC vs Chicago Fire: First Team to Score — Charlotte FC,Charlotte FC to score first vs. Chicago Fire FC?,KXMLSFTTS-26SEP26CLTCHI-CLT,14564564837303320736284822869928581622704614375691198825638441664534601361435,0.52,0.53,2026-09-29,Sports,https://kalshi.com/markets/kxmlsftts/kxmlsftts-26sep26cltchi,https://polymarket.com/event/mls-clt-chi-2026-09-26-first-to-score/mls-clt-chi-2026-09-26-first-to-score-home,0.0,523.8,86.0
fuzzy,,kalshi,polymarket,Charlotte FC vs Chicago Fire: First Team to Score — Chicago Fire,Chicago Fire FC to score first vs. Charlotte FC?,KXMLSFTTS-26SEP26CLTCHI-CHI,55051387535411067830426555374958071354969534447740255843208506049807917504179,0.44,0.445,2026-09-29,Sports,https://kalshi.com/markets/kxmlsftts/kxmlsftts-26sep26cltchi,https://polymarket.com/event/mls-clt-chi-2026-09-26-first-to-score/mls-clt-chi-2026-09-26-first-to-score-away,2.0,,84.1
fuzzy,,kalshi,polymarket,Atlanta United FC vs New York City FC: First Team to Score — Atlanta United FC,Atlanta United FC to score first vs. New York City FC?,KXMLSFTTS-26SEP26ATLNYC-ATL,2260991491827331413555007272413183584950782547641178992050814939439580864708,0.485,0.475,2026-09-29,Sports,https://kalshi.com/markets/kxmlsftts/kxmlsftts-26sep26atlnyc,https://polymarket.com/event/mls-atl-nyc-2026-09-26-first-to-score/mls-atl-nyc-2026-09-26-first-to-score-home,0.0,,81.9
fuzzy,,kalshi,polymarket,Cleveland vs Kansas City: Extra Innings — Game goes to extra innings,Will the game go to extra innings?: Cleveland Guardians vs. Kansas City Royals,KXMLBEXTRAS-26SEP261910CLEKC-EXTRAS,18529551242184583263924758050391771516903388490136792103963221502367353935625,0.095,0.095,2026-09-28,Sports,https://kalshi.com/markets/kxmlbextras/kxmlbextras-26sep261910clekc,https://polymarket.com/event/mlb-cle-kc-2026-09-26/mlb-cle-kc-2026-09-26-extra-innings,0.0,,80.9
fuzzy,,kalshi,polymarket,Madryn vs Central Norte: BTTS — Both Teams To Score,Deportivo Madryn vs. CA Central Norte Salta: Both Teams to Score,KXARGNACBBTTS-26SEP26DMACAC-BTTS,109818762958801476549366665467413811808646008271402481650323212157417954421865,0.375,0.385,2026-09-28,Sports,https://kalshi.com/markets/kxargnacbbtts/kxargnacbbtts-26sep26dmacac,https://polymarket.com/event/argpn-dma-ccn-2026-09-26-more-markets/argpn-dma-ccn-2026-09-26-btts,0.0,28.394211,80.0
fuzzy,,kalshi,polymarket,CF Cruz Azul vs Deportivo Toluca FC: First Team to Score — CF Cruz Azul,CF Cruz Azul to score first vs. Deportivo Toluca FC?,KXLIGAMXFTTS-26SEP26CRATOL-CRA,14478985267574510318757932240650604390170480859171103916155277227550147525460,0.48,0.475,2026-09-29,Sports,https://kalshi.com/markets/kxligamxftts/kxligamxftts-26sep26cratol,https://polymarket.com/event/mex-caz-tol-2026-09-26-first-to-score/mex-caz-tol-2026-09-26-first-to-score-home,20.1,19.14,84.7
fuzzy,,kalshi,polymarket,CF Cruz Azul vs Deportivo Toluca FC: First Team to Score — Deportivo Toluca FC,Deportivo Toluca FC to score first vs. CF Cruz Azul?,KXLIGAMXFTTS-26SEP26CRATOL-TOL,86822748782275475100183894616368738271964548247612695245901834292986424250770,0.48,0.475,2026-09-29,Sports,https://kalshi.com/markets/kxligamxftts/kxligamxftts-26sep26cratol,https://polymarket.com/event/mex-caz-tol-2026-09-26-first-to-score/mex-caz-tol-2026-09-26-first-to-score-away,203.02,10.204082,80.0
fuzzy,,kalshi,polymarket,Penarol vs Boston River: BTTS — Both Teams To Score,CA Penarol Montevideo vs. CA Boston River: Both Teams to Score,KXURYPDBTTS-26SEP26PENBRI-BTTS,109356984859670184955279818439061138810014408853425899553759013412732947952421,0.46,0.465,2026-09-28,Sports,https://kalshi.com/markets/kxurypdbtts/kxurypdbtts-26sep26penbri,https://polymarket.com/event/uru1-pen-bri-2026-09-26-more-markets/uru1-pen-bri-2026-09-26-btts,1.0,130.78181700000002,83.3
fuzzy,,kalshi,polymarket,Goias vs AC Goianiense: BTTS — Both Teams To Score,Goiás EC vs. AC Goianiense: Both Teams to Score,KXBRASILEIROBBTTS-26SEP26GGOGOI-BTTS,90937469265759774978701247324895937994679739809135046336498124304040640579730,0.46,0.47,2026-09-28,Sports,https://kalshi.com/markets/kxbrasileirobbtts/kxbrasileirobbtts-26sep26ggogoi,https://polymarket.com/event/bra2-goi-acg-2026-09-26-more-markets/bra2-goi-acg-2026-09-26-btts,35.87,10.02,91.3
fuzzy,,kalshi,polymarket,Goias vs AC Goianiense: First Half BTTS — 1st Half: Both Teams To Score,Goiás EC vs. AC Goianiense: Both Teams to Score in First Half,KXBRASILEIROB1HBTTS-26SEP26GGOGOI-BTTS,35239868343519550673073338085402372397432582803986400391200513353813647329896,0.155,0.145,2026-09-28,Sports,https://kalshi.com/markets/kxbrasileirob1hbtts/kxbrasileirob1hbtts-26sep26ggogoi,https://polymarket.com/event/bra2-goi-acg-2026-09-26-more-markets/bra2-goi-acg-2026-09-26-btts-first-half,0.0,,85.7
fuzzy,,kalshi,polymarket,Pereira vs Internacional de Bogota: BTTS — Both Teams To Score,Deportivo Pereira vs. Internacional de Bogotá: Both Teams to Score,KXDIMAYORBTTS-26SEP26PERINT-BTTS,58129102000317055168689910558348315363916667335050136109993434640990002698169,0.51,0.525,2026-09-28,Sports,https://kalshi.com/markets/kxdimayorbtts/kxdimayorbtts-26sep26perint,https://polymarket.com/event/col1-dep-cle-2026-09-26-more-markets/col1-dep-cle-2026-09-26-btts,248.16,675.4973359999999,87.8
